proxy_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,rfm_pred
900546,Jacqui,Devey,Female,79,1995-10-01,26.38456028,Analyst Programmer,Financial Services,High Net Worth,N,Yes,13,656 Kennedy Crossing,2261,NSW,Australia,8,9.921001549
900614,Ardis,Taree,Female,97,1960-04-12,61.87771096,Chemical Engineer,Manufacturing,Affluent Customer,N,Yes,5,0 Emmet Trail,4128,QLD,Australia,9,9.906661479
900951,Tillie,Bisseker,Female,74,1960-08-10,61.54894384,Civil Engineer,Manufacturing,High Net Worth,N,No,14,59208 Barnett Avenue,2104,NSW,Australia,12,9.752980553
900000,Chickie,Brister,Male,86,1957-07-12,64.63113562,General Manager,Manufacturing,Mass Customer,N,Yes,14,45 Shopko Center,4500,QLD,Australia,6,9.683531516
900857,Lotty,Loach,Female,76,1961-08-23,60.5133274,Nurse,Health,High Net Worth,N,Yes,7,78451 South Street,2380,NSW,Australia,3,9.668939132
900509,Zabrina,Margram,Female,87,1964-05-15,57.78456028,,Manufacturing,High Net Worth,N,Yes,11,1092 Kinsman Parkway,4053,QLD,Australia,8,9.667044304
900268,Cletis,Longley,Male,84,1996-07-01,25.63387535,Chemical Engineer,Manufacturing,High Net Worth,N,Yes,1,667 Waxwing Plaza,3199,VIC,Australia,7,9.657294786
900475,Huberto,Mollatt,Male,82,1961-08-27,60.5023685,Programmer IV,,Mass Customer,N,Yes,14,31121 Pierstorff Center,2770,NSW,Australia,7,9.622401395
900672,Selle,Casper,Female,98,1978-03-27,43.91058768,Social Worker,Health,Mass Customer,N,Yes,10,34 Jay Hill,2880,NSW,Australia,1,9.622352676
900473,Ingmar,Okenden,Male,97,1959-03-01,62.99551918,Compensation Analyst,Financial Services,Mass Customer,N,Yes,8,1 Graceland Plaza,3216,VIC,Australia,2,9.599417339
900208,Tannie,Gambrell,Male,92,1967-05-25,54.75716302,Financial Analyst,Financial Services,Affluent Customer,N,No,4,49 Surrey Point,4710,QLD,Australia,4,9.577202229
900610,Lek,Pimblett,Male,88,1955-09-29,66.41743699,Product Engineer,Financial Services,Mass Customer,N,Yes,6,97 Merrick Center,2460,NSW,Australia,2,9.54556223
900567,Bobby,Summersby,Male,90,1943-10-27,78.34894384,Sales Associate,Financial Services,Affluent Customer,N,No,7,1478 Oak Valley Park,3350,VIC,Australia,2,9.537986048
900107,Aridatha,Sephton,Female,95,1961-10-22,60.34894384,Human Resources Assistant II,,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1,9.531654022
900651,Giselbert,Pickring,Male,94,1959-07-28,62.58730001,Tax Accountant,Manufacturing,Affluent Customer,N,Yes,20,653 2nd Park,2766,NSW,Australia,8,9.511861668
900252,Lea,Ilyinski,Female,75,1997-09-25,24.39825891,Structural Analysis Engineer,Financial Services,High Net Worth,N,No,12,895 Glendale Park,2026,NSW,Australia,12,9.504087093
900912,Joane,Caldes,Female,84,1978-03-17,43.93798494,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,13,42 3rd Plaza,2250,NSW,Australia,7,9.489200329
900288,Vittoria,Whitney,Female,95,1981-06-03,40.72154658,Research Assistant I,,High Net Worth,N,No,12,3 Surrey Court,2019,NSW,Australia,11,9.477139841
